Sigla,Código,Município,Produção - algodão - herbáceo (caroço) (2000),Produção - milho (2000),Produção - soja (2000),
BA,2912509,Ibipitanga,45.1490204172718,88.04058981368,,
BA,2912608,Ibiquera,,6.77235306259077,,
BA,2912707,Ibirapitanga,,11.2872551043179,,
BA,2912806,Ibirapuã,,47.4064714381354,,
BA,2912905,Ibirataia,,4.51490204172718,,
BA,2913002,Ibitiara,,38.376667354681,,
BA,2913101,Ibititá,,2449.33435763699,,
BA,2913200,Ibotirama,42.8915693964082,29.3468632712267,,
BA,2913309,Ichu,,293.468632712267,,
BA,2913408,Igaporã,,239.28980821154,,
BA,2913457,Igrapiúna,,42.8915693964082,,
BA,2913507,Iguaí,,36.1192163338174,,
BA,2913606,Ilhéus,,,,
BA,2913705,Inhambupe,,139.961963293543,,
BA,2913804,Ipecaetá,,228.002553107222,,
BA,2913903,Ipiaú,,4.51490204172718,,
BA,2914000,Ipirá,,198.655689835996,,
BA,2914109,Ipupiara,6.77235306259077,4.51490204172718,,
BA,2914208,Irajuba,,2.25745102086359,,
BA,2914307,Iramaia,9.02980408345435,36.1192163338174,,
BA,2914406,Iraquara,,487.609420506535,,
BA,2914505,Irará,,257.349416378449,,
BA,2914604,Irecê,18.0596081669087,428.915693964082,,
BA,2914653,Itabela,,31.6043142920902,,
BA,2914703,Itaberaba,,13.5447061251815,,
BA,2914802,Itabuna,,11.2872551043179,,
BA,2914901,Itacaré,,,,
BA,2915007,Itaeté,,243.804710253268,,
BA,2915106,Itagi,,6.77235306259077,,
BA,2915205,Itagibá,,81.2682367510892,,
BA,2915304,Itagimirim,,9.02980408345435,,
BA,2915353,Itaguaçu da Bahia,171.566277585633,419.885889880628,,
BA,2915403,Itaju do Colônia,,9.02980408345435,,
BA,2915502,Itajuípe,,,,
BA,2915601,Itamaraju,,49.663922458999,,
BA,2915700,Itamari,,6.77235306259077,,
BA,2915809,Itambé,,,,
BA,2915908,Itanagra,,2.25745102086359,,
BA,2916005,Itanhém,,42.8915693964082,,
BA,2916104,Itaparica,,,,
BA,2916203,Itapé,,4.51490204172718,,
BA,2916302,Itapebi,,6.77235306259077,,
BA,2916401,Itapetinga,,4.51490204172718,,
BA,2916500,Itapicuru,,568.877657257624,,
BA,2916609,Itapitanga,,,,
BA,2916708,Itaquara,,15.8021571460451,,
BA,2916807,Itarantim,,29.3468632712267,,
BA,2916856,Itatim,,2.25745102086359,,
BA,2916906,Itiruçu,,18.0596081669087,,
BA,2917003,Itiúba,,496.63922458999,,
BA,2917102,Itororó,,6.77235306259077,,
BA,2917201,Ituaçu,22.5745102086359,6.77235306259077,,
BA,2917300,Ituberá,,9.02980408345435,,
BA,2917334,Iuiú,297.983534753994,307.013338837448,,
BA,2917359,Jaborandi,3857.98379465587,16806.7228503294,23696.4633660051,
BA,2917409,Jacaraci,,133.189610230952,,
BA,2917508,Jacobina,,753.988640968439,,
BA,2917607,Jaguaquara,,27.0894122503631,,
BA,2917706,Jaguarari,,388.281575588537,,
BA,2917805,Jaguaripe,,2.25745102086359,,
BA,2917904,Jandaíra,,27.0894122503631,,
BA,2918001,Jequié,4.51490204172718,49.663922458999,,
BA,2918100,Jeremoabo,,1824.02042485778,,
BA,2918209,Jiquiriçá,,13.5447061251815,,
BA,2918308,Jitaúna,,6.77235306259077,,
BA,2918357,João Dourado,,1232.56825739152,,
BA,2918407,Juazeiro,187.368434731678,573.392559299352,,
BA,2918456,Jucuruçu,,27.0894122503631,,
BA,2918506,Jussara,1819.50552281605,948.129428762707,,
BA,2918555,Jussari,,4.51490204172718,,
BA,2918605,Jussiape,158.021571460451,56.4362755215897,,
BA,2918704,Lafaiete Coutinho,,11.2872551043179,,
BA,2918753,Lagoa Real,171.566277585633,119.64490410577,,
BA,2918803,Laje,,45.1490204172718,,
BA,2918902,Lajedão,,24.8319612294995,,
BA,2919009,Lajedinho,,9.02980408345435,,
BA,2919058,Lajedo do Tabocal,,9.02980408345435,,
BA,2919108,Lamarão,,415.3709878389,,
BA,2919157,Lapão,,3799.29006811342,,
BA,2919207,Lauro de Freitas,,,,
BA,2919306,Lençóis,,15.8021571460451,,
BA,2919405,Licínio de Almeida,,148.991767376997,,
BA,2919504,Livramento de Nossa Senhora,756.246091989302,1049.71472470157,,
BA,2919553,Luís Eduardo Magalhães,,,,
BA,2919603,Macajuba,,31.6043142920902,,
BA,2919702,Macarani,,15.8021571460451,,
BA,2919801,Macaúbas,108.357649001452,1117.43825532748,,
BA,2919900,Macururé,,,,
BA,2919926,Madre de Deus,,0,,
BA,2919959,Maetinga,4.51490204172718,11.2872551043179,,
BA,2920007,Maiquinique,,15.8021571460451,,
BA,2920106,Mairi,,103.842746959725,,
BA,2920205,Malhada,437.945498047536,1711.1478738146,,
BA,2920304,Malhada de Pedras,207.68549391945,2.25745102086359,,
BA,2920403,Manoel Vitorino,47.4064714381354,56.4362755215897,,
BA,2920452,Mansidão,,379.251771505083,,
BA,2920502,Maracás,,6.77235306259077,,
BA,2920601,Maragogipe,,51.9213734798625,,
BA,2920700,Maraú,,,,
BA,2920809,Marcionílio Souza,,40.6341183755446,,
BA,2920908,Mascote,,11.2872551043179,,
BA,2921005,Mata de São João,,11.2872551043179,,
BA,2921054,Matina,119.64490410577,49.663922458999,,
BA,2921104,Medeiros Neto,,22.5745102086359,,
BA,2921203,Miguel Calmon,,343.132555171265,,
BA,2921302,Milagres,,6.77235306259077,,
BA,2921401,Mirangaba,112.872551043179,456.005106214445,,
BA,2921450,Mirante,33.8617653129538,42.8915693964082,,
BA,2921500,Monte Santo,,1625.36473502178,,
BA,2921609,Morpará,42.8915693964082,18.0596081669087,,
BA,2921708,Morro do Chapéu,,18.0596081669087,,
BA,2921807,Mortugaba,,243.804710253268,,
BA,2921906,Mucugê,,60.9511775633169,,
BA,2922003,Mucuri,,15.8021571460451,,
BA,2922052,Mulungu do Morro,,1431.22394722752,,
BA,2922102,Mundo Novo,,191.883336773405,,
BA,2922201,Muniz Ferreira,,4.51490204172718,,
BA,2922250,Muquém de São Francisco,133.189610230952,38.376667354681,,
BA,2922300,Muritiba,,151.24921839786,,
BA,2922409,Mutuípe,,18.0596081669087,,
BA,2922508,Nazaré,,4.51490204172718,,
BA,2922607,Nilo Peçanha,,45.1490204172718,,
BA,2922656,Nordestina,,81.2682367510892,,
BA,2922706,Nova Canaã,,58.6937265424533,,
BA,2922730,Nova Fátima,,255.091965357586,,
BA,2922755,Nova Ibiá,,2.25745102086359,,
BA,2922805,Nova Itarana,,2.25745102086359,,
BA,2922854,Nova Redenção,,361.192163338174,,
BA,2922904,Nova Soure,,478.579616423081,,
BA,2923001,Nova Viçosa,,13.5447061251815,,
