percentage_votos_centrao,ibge,municipio,pib_per_capita,uf,taxa_analfabetismo,Year
0.2122010094360324,1504604,MOCAJUBA,2126.1,PA,13.7,2002
0.1633849795567032,1504703,MOJU,2147.97,PA,31.6,2002
0.1654444015579494,1504802,MONTE ALEGRE,2220.31,PA,19.4,2002
0.1654444015579494,1504802,MONTE ALEGRE,2220.31,PA,37.7,2002
0.3151060909954608,1504901,MUANA,1813.85,PA,21.0,2002
0.1294731610337972,1504950,NOVA ESPERANCA DO PIRIA,1311.83,PA,39.0,2002
0.3627284317892053,1504976,NOVA IPIXUNA,1645.36,PA,27.5,2002
0.2379327989084086,1505007,NOVA TIMBOTEUA,1831.89,PA,21.9,2002
0.3304157549234136,1505031,NOVO PROGRESSO,2704.25,PA,17.7,2002
0.7349258983555526,1505064,NOVO REPARTIMENTO,2335.46,PA,29.9,2002
0.2896490710704806,1505106,OBIDOS,2751.78,PA,14.3,2002
0.1921157045949059,1505205,OEIRAS DO PARA,1793.51,PA,23.9,2002
0.1111983511630189,1505304,ORIXIMINA,11769.8,PA,13.9,2002
0.4280983916745506,1505403,OUREM,2113.33,PA,25.3,2002
0.4444847605224963,1505437,OURILANDIA DO NORTE,2454.57,PA,24.0,2002
0.4468923933209647,1505486,PACAJA,2528.84,PA,28.2,2002
0.1425718849840255,1505494,PALESTINA DO PARA,1627.94,PA,32.4,2002
0.3052432984828236,1505502,PARAGOMINAS,6646.64,PA,19.3,2002
0.1730424873840143,1505536,PARAUAPEBAS,17290.6,PA,15.2,2002
0.4975278121137206,1505551,PAU D'ARCO,2404.87,PA,26.1,2002
0.4975278121137206,1505551,PAU D'ARCO,2404.87,PA,28.0,2002
0.2552877520905066,1505601,PEIXE-BOI,1626.26,PA,28.9,2002
0.3674507310870947,1505635,PICARRA,3902.77,PA,27.1,2002
0.364089184060721,1505650,PLACAS,3623.53,PA,23.3,2002
0.2364873222016079,1505700,PONTA DE PEDRAS,1902.45,PA,21.0,2002
0.1375755773614828,1505809,PORTEL,2607.96,PA,42.4,2002
0.4160955895273238,1505908,PORTO DE MOZ,1855.58,PA,30.5,2002
0.2011548432712703,1506005,PRAINHA,2239.93,PA,26.1,2002
0.1883116883116883,1506104,PRIMAVERA,1428.84,PA,22.8,2002
0.1883116883116883,1506104,PRIMAVERA,1428.84,PA,33.4,2002
0.1521951219512195,1506112,QUATIPURU,1558.68,PA,28.8,2002
0.3523175207285578,1506161,RIO MARIA,3770.62,PA,17.2,2002
0.3541651509639869,1506187,RONDON DO PARA,3478.01,PA,22.9,2002
0.2758798504576512,1506195,RUROPOLIS,2110.4,PA,24.1,2002
0.4329087559080349,1506203,SALINOPOLIS,1956.54,PA,14.8,2002
