,nm_municipio,0,sg_uf
452,BARRA DE SÃO MIGUEL,0.41037397908009743,AL
453,BARRA DO BUGRES,0.1477213590067653,MT
454,BARRA DO CHAPÉU,0.18527157614128623,SP
455,BARRA DO CHOÇA,0.40876870569703333,BA
456,BARRA DO CORDA,0.41252793823111084,MA
457,BARRA DO GARÇAS,0.057248032495557245,MT
458,BARRA DO GUARITA,0.3224917309812569,RS
459,BARRA DO JACARÉ,0.17543859649122806,PR
460,BARRA DO MENDES,0.28715027642821245,BA
461,BARRA DO OURO,0.40017746228926354,TO
462,BARRA DO PIRAÍ,0.26188395078329857,RJ
463,BARRA DO QUARAÍ,0.0982396365701306,RS
464,BARRA DO RIBEIRO,0.16741204531902207,RS
465,BARRA DO RIO AZUL,0.2016308376575241,RS
466,BARRA DO ROCHA,0.2176330420969023,BA
467,BARRA DO TURVO,0.17889908256880735,SP
468,BARRA DOS COQUEIROS,0.30515410064426257,SE
469,BARRA FUNDA,0.2816748232735182,RS
470,BARRA LONGA,0.12789037967456465,MG
471,BARRA MANSA,0.2867422176912682,RJ
472,BARRA VELHA,0.2953382339257467,SC
473,BARRACÃO,0.3366004962779156,PR
474,BARRAS,0.19449488674376375,PI
475,BARREIRA,0.32455642874503765,CE
476,BARREIRAS,0.2371546581000459,BA
477,BARREIRAS DO PIAUÍ,0.9098173515981736,PI
478,BARREIRINHA,0.27318206181883153,AM
479,BARREIRINHAS,0.2566649044634091,MA
480,BARREIROS,0.41962216040797407,PE
481,BARRETOS,0.22773697823255112,SP
482,BARRINHA,0.515742589463984,SP
483,BARRO,0.5393874261149919,CE
484,BARRO ALTO,0.24292924483382536,BA
485,BARRO DURO,0.2111082540498843,PI
486,BARRO PRETO,0.2961151079136691,BA
487,BARROCAS,0.04078659868900218,BA
488,BARROLÂNDIA,0.0738174148840012,TO
489,BARROQUINHA,0.37341772151898733,CE
490,BARROS CASSAL,0.234479305740988,RS
491,BARROSO,0.03525158180174751,MG
492,BARUERI,0.17314088934688182,SP
493,BARÃO,0.3242545871559633,RS
494,BARÃO DE ANTONINA,0.3841103086014445,SP
495,BARÃO DE COCAIS,0.12500900641256574,MG
496,BARÃO DE COTEGIPE,0.12673210161662818,RS
497,BARÃO DE GRAJAÚ,0.657738455944734,MA
498,BARÃO DE MELGAÇO,0.12015598342676091,MT
499,BARÃO DE MONTE ALTO,0.6963123644251626,MG
500,BARÃO DO TRIUNFO,0.2961151860907362,RS
501,BASTOS,0.48197812648597244,SP
502,BATAGUASSU,0.11102090521615587,MS
503,BATALHA,0.29540196645459804,AL
504,BATATAIS,0.6335586691340307,SP
505,BATAYPORÃ,0.19629972247918595,MS
506,BATURITÉ,0.3805704099821747,CE
507,BAURU,0.1522645465453091,SP
508,BAYEUX,0.2627991263231164,PB
509,BAÍA DA TRAIÇÃO,0.530771372876636,PB
510,BAÍA FORMOSA,0.1829908176650634,RN
511,BEBEDOURO,0.4314022678791961,SP
