Municipio,Total,UF
Tuiuti,94.63,SP
Tupã,95.92,SP
Tupi Paulista,96.43,SP
Turiúba,92.54,SP
Turmalina,94.67,SP
Ubarana,91.9,SP
Ubatuba,96.38,SP
Ubirajara,93.9,SP
Uchoa,94.65,SP
União Paulista,93.3,SP
Urânia,93.05,SP
Uru,94.01,SP
Urupês,95.27,SP
Valentim Gentil,95.94,SP
Valinhos,98.05,SP
Valparaíso,95.34,SP
Vargem,95.04,SP
Vargem Grande do Sul,95.64,SP
Vargem Grande Paulista,96.77,SP
Várzea Paulista,96.53,SP
Vera Cruz,95.93,SP
Vinhedo,98.01,SP
Viradouro,95.72,SP
Vista Alegre do Alto,93.18,SP
Vitória Brasil,91.54,SP
Votorantim,97.65,SP
Votuporanga,96.7,SP
Zacarias,93.55,SP
Chavantes,94.62,SP
Estiva Gerbi,96.36,SP
Abreulândia,87.87,TO
Aguiarnópolis,90.33,TO
Aliança do Tocantins,89.71,TO
Almas,84.63,TO
Alvorada,91.23,TO
Ananás,86.39,TO
Angico,89.4,TO
Aparecida do Rio Negro,88.97,TO
Aragominas,82.75,TO
Araguacema,87.36,TO
Araguaçu,88.89,TO
Araguaína,93.67,TO
Araguanã,87.33,TO
Araguatins,85.26,TO
Arapoema,87.21,TO
Arraias,83.72,TO
Augustinópolis,86.65,TO
Aurora do Tocantins,83.75,TO
Axixá do Tocantins,84.69,TO
Babaçulândia,83.0,TO
Bandeirantes do Tocantins,88.86,TO
Barra do Ouro,84.02,TO
Barrolândia,85.84,TO
Bernardo Sayão,86.41,TO
Bom Jesus do Tocantins,87.86,TO
Brasilândia do Tocantins,86.59,TO
Brejinho de Nazaré,85.95,TO
Buriti do Tocantins,80.68,TO
Cachoeirinha,85.25,TO
Campos Lindos,86.86,TO
Cariri do Tocantins,91.15,TO
Carmolândia,86.07,TO
Carrasco Bonito,79.25,TO
Caseara,89.38,TO
Centenário,84.77,TO
Chapada de Areia,84.93,TO
Chapada da Natividade,85.99,TO
Colinas do Tocantins,91.1,TO
Combinado,88.47,TO
Conceição do Tocantins,83.45,TO
Couto Magalhães,86.16,TO
Cristalândia,88.94,TO
Crixás do Tocantins,91.06,TO
Darcinópolis,89.85,TO
Dianópolis,89.83,TO
Divinópolis do Tocantins,89.69,TO
Dois Irmãos do Tocantins,87.02,TO
Dueré,88.69,TO
Esperantina,78.21,TO
Fátima,90.12,TO
Figueirópolis,88.3,TO
Filadélfia,87.23,TO
Formoso do Araguaia,89.84,TO
Tabocão,90.96,TO
Goianorte,86.41,TO
Goiatins,82.26,TO
Guaraí,92.25,TO
Gurupi,95.57,TO
Ipueiras,83.81,TO
Itacajá,86.64,TO
Itaguatins,82.38,TO
Itapiratins,84.1,TO
Itaporã do Tocantins,88.73,TO
Jaú do Tocantins,89.52,TO
Juarina,86.51,TO
Lagoa da Confusão,92.82,TO
Lagoa do Tocantins,85.7,TO
Lajeado,93.57,TO
Lavandeira,80.89,TO
Lizarda,83.29,TO
Luzinópolis,86.97,TO
Marianópolis do Tocantins,91.4,TO
Mateiros,83.19,TO
Maurilândia do Tocantins,83.11,TO
Miracema do Tocantins,90.71,TO
Miranorte,90.81,TO
Monte do Carmo,85.57,TO
Monte Santo do Tocantins,89.39,TO
Palmeiras do Tocantins,84.62,TO
Muricilândia,86.19,TO
Natividade,86.33,TO
Nazaré,84.58,TO
Nova Olinda,87.66,TO
Nova Rosalândia,89.82,TO
Novo Acordo,90.53,TO
Novo Alegre,87.68,TO
Novo Jardim,82.5,TO
Oliveira de Fátima,88.67,TO
Palmeirante,83.52,TO
Palmeirópolis,88.38,TO
Paraíso do Tocantins,94.9,TO
Paranã,82.14,TO
Pau D'Arco,86.38,TO
Pedro Afonso,92.56,TO
Peixe,84.58,TO
Pequizeiro,85.28,TO
Colméia,88.22,TO
Pindorama do Tocantins,87.33,TO
Piraquê,84.47,TO
Pium,86.58,TO
Ponte Alta do Bom Jesus,83.37,TO
Ponte Alta do Tocantins,87.09,TO
Porto Alegre do Tocantins,84.11,TO
Porto Nacional,93.54,TO
Praia Norte,83.86,TO
Presidente Kennedy,88.73,TO
Pugmil,90.03,TO
Recursolândia,78.46,TO
Riachinho,84.32,TO
Rio da Conceição,89.47,TO
Rio dos Bois,86.13,TO
Rio Sono,88.1,TO
Sampaio,83.07,TO
Sandolândia,88.69,TO
Santa Fé do Araguaia,86.67,TO
Santa Maria do Tocantins,88.09,TO
Santa Rita do Tocantins,88.98,TO
Santa Rosa do Tocantins,86.02,TO
Santa Tereza do Tocantins,86.83,TO
Santa Terezinha do Tocantins,84.69,TO
São Bento do Tocantins,86.34,TO
São Félix do Tocantins,88.32,TO
São Miguel do Tocantins,84.37,TO
São Salvador do Tocantins,83.41,TO
São Sebastião do Tocantins,82.88,TO
São Valério,86.31,TO
Silvanópolis,88.78,TO
Sítio Novo do Tocantins,84.23,TO
Sucupira,87.57,TO
Taguatinga,87.26,TO
Taipas do Tocantins,85.9,TO
Talismã,88.55,TO
Palmas,96.89,TO
Tocantínia,89.95,TO
Tocantinópolis,90.04,TO
Tupirama,87.97,TO
Tupiratins,84.89,TO
Wanderlândia,86.39,TO
Xambioá,86.38,TO
